1.6738551147e-02    0.0000000000e+00
3.3600491867e-02    0.0000000000e+00
5.0589954301e-02    0.0000000000e+00
6.7711161641e-02    0.0000000000e+00
8.4968449312e-02    0.0000000000e+00
1.0236624193e-01    0.0000000000e+00
1.1990909253e-01    0.0000000000e+00
1.3760164883e-01    0.0000000000e+00
1.5544868213e-01    4.5808148729e-05
1.7345507608e-01    2.3650395669e-03
1.9162583252e-01    2.1409475976e-02
2.0996609200e-01    3.3922721069e-02
2.2848110546e-01    3.9937042127e-02
2.4717627080e-01    4.4127333441e-02
2.6605709955e-01    4.7453642959e-02
2.8512926841e-01    6.4279277819e-02
3.0439857861e-01    6.9280976295e-02
3.2387099484e-01    8.1488842495e-02
3.4355261498e-01    8.2399668249e-02
3.6344972392e-01    9.8263132304e-02
3.8356873925e-01    1.0302105634e-01
4.0391626273e-01    1.0391197096e-01
4.2449906705e-01    9.8332168880e-02
4.4532409452e-01    6.3578464786e-02
4.6639849862e-01    2.7567139726e-02
4.8772958760e-01    1.0684073736e-02
5.0932489658e-01    4.8783202544e-03
5.3119213790e-01    2.1669232306e-03
5.5333926665e-01    7.1554689532e-04
5.7577444154e-01    1.2526318638e-04
5.9850602251e-01    2.9788823598e-05
6.2154263937e-01    1.6322733078e-05
6.4489314606e-01    0.0000000000e+00
6.6856665950e-01    0.0000000000e+00
6.9257253513e-01    0.0000000000e+00
